ID,Title,Genre,Tags,Synopsis,Rank,Popularity,Score,Episodes,Duration,Watchers,Start_date,End_date,Day_aired,Main Role
37,Taxi Driver ,"Action, Thriller, Crime, Drama","Revenge, Strong Male Lead, Adapted From A Webtoon, Investigation, Prosecutor Female Lead, Secret Organization, Smart Female Lead, Death Of A Mother, Taxi Driver Male Lead, Police Officer Male Lead","Do Gi has lived more honestly than anyone else as an officer in the Special Forces. Yet, when a serial killer murders his mother, he spends his days in agony. While feeling wronged and broken, Do Gi meets Jang Sung Chul, who recruits Do Gi to work for his company, Rainbow Taxi. Far from an ordinary taxi service, Rainbow Taxi is a secret organization that avenges victims whom the law didn’t protect. Here, Do Gi becomes a star driver who delivers satisfying revenge. Meanwhile, Ha Na is a prosecutor who investigates Rainbow Taxi. She is furious with their lawless behavior, but at the same time, she feels confused about seeing them solve cases that the law cannot. Between those who believe that revenge embodies true justice and those who pursue the outlaws, Do Gi seeks what justice truly means.",137,179,8.8,16,65,"43,385",4/9/2021,5/29/2021,"Friday, Saturday","Lee Je Hoon, Kim Eui Sung, Esom, Pyo Ye Jin"
38,Six Flying Dragons ,"Action, Historical, Drama, Political","Revolution, Power Struggle, Political Intrigue, Sword-fight, Smart Male Lead, Taejong, Scheme, Taejo, Goryeo Dynasty, Bromance ","A fictional, historical drama about the ambition, rise and fall of real and fictional characters based around Yi Bang Won.
Yi Bang Won was the third king of the Joseon Dynasty in Korea and the father of King Se Jong the Great. He helped his father King Tae Jo establish the Joseon Dynasty.",142,490,8.8,50,60,"22,241",10/5/2015,3/22/2016,"Monday, Tuesday","Yoo Ah In, Shin Se Kyung, Yoon Kyun Sang, Kim Myung Min, Byun Yo Han, Chun Ho Jin"
39,Youth of May ,"Romance, Youth, Drama, Melodrama","1980s, Rich Man/Poor Woman, Star Crossed Lovers, Gwangju Uprising, Tearjerker, Nice Male Lead, Strong Female Lead, Smart Female Lead, Forbidden Love, Martial Law","Hee Tae becomes the pride of Gwangju when he enters Seoul National University College of Medicine with top marks. His best friend Kyung Soo, an avid pro-democracy activist, insists that they open an illegal clinic for students on the run from the government. One day, a factory worker is injured during a protest. In exchange for the costs of discreetly transporting himself and the factory worker to his hometown, Hee Tae must go to a meeting with a potential marriage partner arranged by his father. At this meeting, Hee Tae meets Myung Hee, a nurse persevering through the hardships of life. She only agrees to go to this meeting in place of her friend Soo Ryeon, because she needs to come up with the airfare to go study in Germany. However, Myung Hee and Hee Tae end up falling in love. In May of 1980, amidst the heated passion and cries for democracy that reverberated throughout Gwangju, Hee Tae and Myung Hee find themselves in a twist of fate.",144,189,8.8,12,70,"42,475",5/3/2021,6/8/2021,"Monday, Tuesday","Lee Do Hyun, Lee Sang Yi, Go Min Si, Geum Sae Rok"
40,Life on Mars ,"Action, Mystery, Psychological, Comedy","1980s, Police Procedural, Bromance, Calm Male Lead, Smart Male Lead, Strong Female Lead, Coma, Murder, Investigation, Thriller","As the leader of a crime investigation team, Han Tae Joo has propelled his career and risen through the ranks by trusting data over all else. One day, while investigating a serial murder case, he has an accident. When he wakes up, he suddenly finds himself in the winter of 1988. He doesn't know why, but he's now a detective appointed to work at a police station in a small city. To get back to the present day, Han Tae Joo tries to solve the case.",146,394,8.8,16,65,"26,066",6/9/2018,8/5/2018,"Saturday, Sunday","Jung Kyung Ho, Go Ah Sung, Noh Jong Hyun, Park Sung Woong, Oh Dae Hwan"
41,The Devil Judge ,"Mystery, Law, Crime, Drama","Corruption, Tough Past, Hardworking Male Lead, Dystopia, Strong Female Lead, Tragic Past, Bromance, Manipulative Female Lead, Rivalry, Smart Male Lead ","Set in a dystopian version of present-day Korea where daily life is chaos and society has collapsed to the point that people openly voice their distrust and hatred for their leaders. In this world bereft of law and order, Head Trial Judge Kang signals the need for change. His courtroom is the subject of a reality show where he mercilessly punishes the guilty, earning him the ""Devil Judge"" nickname. As a divisive figure with an aura of mystery that belies his true identity and ambitions, the public is unsure whether he is a true hero or someone, knowingly sowing the seeds of discontent in his courtroom.
A bitter rivalry has taken shape between the ""Devil Judge"" and the highly ambitious Jung Sun Ah, who has risen from poverty to become a corporate social responsibility foundation director. Into this turbulent world enter two childhood friends on a quest for true justice: rookie Judge Kim Ga On and Police Officer Yoon Soo Hyun. Do they have what it takes to challenge both the scheming Jung Sun Ah and the notorious ""Devil Judge""?",149,168,8.8,16,75,"45,384",7/3/2021,8/22/2021,"Saturday, Sunday","Ji Sung, Park Jin Young, Kim Min Jung, Park Gyu Young"
42,Racket Boys ,"Comedy, Life, Drama, Sports","Badminton, Sport Club, Rural Life, Working Mom, Tough Female Lead, Tough Male Lead, Slight Romance, Multiple Mains, Carefree Protagonist, Arrogant Female Lead","A story of a boys' badminton team at a middle school in Haenam as they grow, both as people and as players.
Yoon Hyun Jong was once a very good badminton player, but now he struggles to make ends meet for his family. Therefore, he jumps at a chance to coach a middle school team, only to find a team on the verge of disbandment with only three players: Bang Yoon Dam, Na Woo Chan, and Lee Yong Tae. The three boys struggle along, improving as Yoon Hae Kang, Yoon Hyun Jong's son, joins the team along with Jung In Sol. Now having enough players to enter competitions, they try to soar to new heights.
Meanwhile, Ra Young Ja, former top badminton player and Yoon Hyun Jong's wife, is the coach of the girls’ badminton team at a girl's middle school in Haenam. On her team are Han Se Yoon, the #1 ranked junior female player in Korea and Lee Han Sol, Se Yoon's best friend, allowing them to be one of the best teams among their peers.",150,474,8.8,16,75,"22,810",5/31/2021,8/9/2021,"Monday, Tuesday","Kim Sang Kyung, Tang Jun Sang, Choi Hyun Wook, Kim Min Ki, Lee Ji Won, Oh Na Ra, Son Sang Yeon, Kim Kang Hoon, Lee Jae In"
43,Through the Darkness ,"Thriller, Mystery, Crime, Drama","Investigation, Murder, Empathic Male Lead, Calm Male Lead, Suspense, 1990s, 2000s, Time Skip, Offender Profiling, Kind Male Lead ","Back in the 1990s, the citizens of Seoul were gripped with a paralyzing fear after a series of brutal attacks and murders occurred. A mysterious figure dubbed ‘Red Cap’ was stalking women on the streets then killing his prey, seemingly without provocation. His habit of striking at random made it impossible for the detectives to predict his next move. At the top of their minds is what could be triggering him.
Aware of the American F.B.I. and its successful use of criminal profilers to identify serial killers, the head of the Criminal Behavioral Analysis team, Gook Young Soo recruits Song Ha Young, a quiet, reserved, incredibly perceptive former detective for his team. Gook believes using this new psychological method will give the police an edge in capturing 'Red Cap' and ending his killing spree.
Homicide expert Yoon Tae Goo and her officers question the value of this approach and are resistant to entering such uncharted territory. To quell their scorn they need to convince that this radical crime-fighting approach will increase their arrest rates. Does Song Ha Young have the ability to gain the trust of callous criminals while seeing through them? Is he clever enough to outwit them? But more importantly, does he possess the emotional fortitude to withstand the process?",157,814,8.8,12,70,"14,815",1/14/2022,3/12/2022,"Friday, Saturday","Kim Nam Gil, Kim So Jin, Jin Seon Kyu"
44,Beyond Evil ,"Thriller, Mystery, Psychological, Drama","Determined Male Lead, Investigation, Suspense, Murder, Trauma, Psychological Manipulation, Smart Male Lead, Death, Corruption, Mother-Son Relationship","Meet the two fearless men willing to go to extreme lengths in their pursuit of a serial killer that has shaken up their quiet city: Lee Dong Sik, a once capable detective, is now demoted to perform menial tasks at the Manyang Police Substation. Just as he is beginning to settle into a peaceful life, his new superior, Detective Han Joo Won, is transferred in. Joo Won is an elite detective whose father is the star candidate for the National Police Agency’s next chief. Despite his admirable qualities and high social standing, Joo Won harbors a long-held secret.
When a string of gruesome killings occurs, a pattern takes shape that is oddly reminiscent of some cold serial-murder cases from 20 years prior. Dong Sik and Joo Won team up, vowing to stop this vicious culprit in his tracks. As their investigation proceeds, they are forced to look far deeper than what the evidence suggests, questioning the culpability of all those surrounding the case, including their own.",158,176,8.8,16,65,"43,814",2/19/2021,4/10/2021,"Friday, Saturday","Shin Ha Kyun, Choi Dae Hoon, Choi Sung Eun, Yeo Jin Goo, Kim Shin Rok"
45,Missing: The Other Side Season 2 ,"Thriller, Mystery, Supernatural","Village Setting, Swindler Male Lead, Cold Case, Hacker Female Lead, Detective Male Lead, Righteous Male Lead, Slight Comedy, Cheerful Male Lead, Social Justice, Afterlife","3 Gongdan is a village where missing deceased people, including Kang Eun Sil and Oh Il Yong, stay. Meanwhile, Kim Wook, Jang Pan Seok, Lee Jong A, and Detective Shin Joon Ho try to find the bodies of the missing people and chase after the truth behind their deaths.",163,2197,8.7,14,60,"5,034",12/19/2022,1/31/2023,"Monday, Tuesday","Go Soo, Ahn So Hee, Lee Jung Eun, Heo Joon Ho, Ha Joon, Kim Dong Hwi"
46,Hometown Cha-Cha-Cha ,"Comedy, Romance, Life, Drama","Nice Male Lead, Nice Female Lead, Cheerful Male Lead, Hardworking Male Lead, Hardworking Female Lead, Jack Of All Trades, Smart Female Lead, Opposites Attract, Character Development, Healing","After a conflict with her boss, dentist Yoon Hye Jin escapes the city to a seaside village where she had vacationed as a young girl. When she learns the village is without a dentist she decides to set up her practice there permanently. But the former city-dweller's stiff and guarded demeanor almost immediately rubs the locals the wrong way. In steps the free-spirited jack of all trades, Hong Do Shik, to help her learn to navigate life in a small village, albeit they don't hit it off well at first either.",166,50,8.7,16,80,"81,956",8/28/2021,10/17/2021,"Saturday, Sunday","Shin Min Ah, Lee Sang Yi, Kim Seon Ho"
47,The Penthouse: War in Life ,"Thriller, Mystery, Drama","Motherhood, Revenge, Greed, Jealousy, School Bullying, Multiple Couples, Rich Male Lead, School Rivalry, High Society, Mother-Daughter Relationship ","The residents of Hera Palace, a luxury penthouse apartment with 100 floors, have many secrets and hidden ambitions. Sim Su Ryeon, who was born into wealth, is the queen of the penthouse apartment. Cheon Seo Jin, the prima donna of the residence, does all she can to give everything to her daughter. Oh Yoon Hee comes from a poor family background, but she strives to enter high society by becoming the queen of the penthouse, the pinnacle of success in her eyes. A battle for wealth, power, and prestige at Seoul’s most coveted penthouse begins.",170,164,8.7,21,85,"46,029",10/26/2020,1/5/2021,"Monday, Tuesday","Lee Ji Ah, Eugene, Kim So Yeon"
48,Dear My Friends ,"Life, Drama, Melodrama","Life Lesson, Mother-Daughter Relationship, Mother-Son Relationship, Sismance, Family Conflict, Multiple Couples, Age Gap [Drama Life], Age Gap [Real Life], Elder Female Lead, Generational Conflict","Park Wan is a translator who is constantly pulled by her mother, Jang Nan Hee, to hang out with her elder friends, Jo Hee Ja, Moon Jung Ah, Oh Choong Nam, and Lee Yeong Won. The plot revolves around the friends' twilight years as they are rediscovering themselves through relationships and family, the struggles they face due to their old age, and their life journey that they share with Park Wan in the hope she would write a novel about them.",173,1017,8.7,16,70,"11,811",5/13/2016,7/2/2016,"Friday, Saturday","Go Hyun Jung, Na Moon Hee, Park Won Sook, Joo Hyun, Shin Goo, Kim Hye Ja, Go Doo Shim, Youn Yuh Jung, Kim Young Ok"
49,Arthdal Chronicles Part 3: The Prelude to All Legends ,"Historical, Romance, Fantasy, Political","Power Struggle, War, Supernatural Power, Strong Female Lead, Curse, Revenge, Superhuman Strength, Pre-produced, Class Conflict, Antihero Male Lead ","Ta Gon gets what he wants as he sits atop his throne. However, now his life and throne are threatened when Eun Seom begins to gather power among the slaves and peasants of Arth as he starts to fight back against the elite. Although Ta Gon has so far kept his half-Neanthal heritage a secret from the world, his eyes shine purple, preparing to go all out in fighting Eun Seom.
Meanwhile, Taealha faces the threat of assassination from an unknown adversary, while Tanya struggles to adjust to her newfound power in Arthdal.",175,589,8.7,6,80,"19,468",9/7/2019,9/22/2019,"Saturday, Sunday","Song Joong Ki, Kim Ji Won, Kim Sung Cheol, Jang Dong Gun, Kim Ok Bin"
50,"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land","Historical, Romance, Fantasy, Political","War, Power Struggle, Slavery, Good Twin/Evil Twin, Strong Female Lead, Revenge, Character Development, Father-Daughter Relationship, Strong Male Lead, Political Intrigue ","Ta Gon has now become the most powerful man in Arthdal. He has an affectionate relationship only with Taealha, the daughter of the rival Hae Tribe, because of their shared ambitions.
Sa Ya has been kept confined in a tower because he is an Igutu, a hybrid between a Saram and Nweantal. Ta Gon chose to spare Sa Ya’s life as a baby in the wars that wiped out all the Nweantals and brought him back to Arthdal. His relationship with Sa Ya is complicated as Igutus are hated in Arthdal. Tae Al Ha has helped Ta Gon raise him.
Tan Ya, in an attempt to escape from the fortress of fire, where she and her tribe were held as hostages, goes into a room. This room looks exactly like what EunSeom had described in his dreams. There she sees a boy that looks just like Eun Seom.
What will happen after Sa Ya, who longs to escape his tower, and Tan Ya, who yearns for revenge against Arthdal, meet for the first time?",178,498,8.7,6,81,"21,972",6/22/2019,7/7/2019,"Saturday, Sunday","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin"
51,The Guest ,"Thriller, Mystery, Horror, Supernatural","Exorcism, Death, Demon, Shamanism, Murder, Strong Female Lead, Hot-Tempered Male Lead, Ghost-seeing Male Lead, Orphan Female Lead, Ghost","Yoon Hwa Pyung, a young psychic born into a shaman family, learns about the powerful demon called ""Son"" (Guest). The demon has the power to control other demons and allows them to possess weak people. The possessed people then go mad, kill their families, and stab themselves in the eye. Fatefully, Hwa Pyung, Choi Yoon; a young boy born in a religious Catholic family, and Kang Kil Yeong; the daughter of a detective, meet when their families are killed by a demon.
Twenty years later, the demon killings started again. Hwa Pyung is now a taxi driver who uses his power to seek out possessed people in order to help them, while Yoon is a Catholic priest who is talented in exorcism, and Kil Yeong is a detective who doesn't believe in ghosts. The trio meets again and tries to work together to defeat ""Son"".",180,314,8.7,16,67,"30,765",9/12/2018,11/1/2018,"Wednesday, Thursday","Kim Dong Wook, Jung Eun Chae, Kim Jae Wook"
52,Defendant ,"Thriller, Mystery, Law, Drama","Murder, Amnesia, Wrongfully Accused, Identity Swap, Bromance, Suspense, Good Twin/Evil Twin, Deception, Competent Male Lead, Power Struggle","Park Jung Woo is a prosecutor at Seoul Central District Prosecutors’ Office. One day, he wakes up and finds himself a convict on death row. Suffering from temporary amnesia, Jung Woo has no idea what transpired to land him in prison. He struggles to recover his memory and clear his name before his time is up",184,362,8.7,18,70,"27,877",1/23/2017,3/21/2017,"Monday, Tuesday","Ji Sung, Kwon Yu Ri, Uhm Hyun Kyung, Uhm Ki Joon, Oh Chang Seok"
53,Dr. Romantic Season 2 ,"Romance, Drama, Medical, Melodrama","Healing, Hardworking Female Lead, Character Development, Love/Hate Relationship, Slow Burn Romance, Smart Female Lead, Nervous Female Lead, Friends To Lovers, Rich Woman/Poor Man, Hospital Setting","A “real doctor” story set in a small, humble hospital called Doldam Hospital. It is a story about people who meet Kim Sa Bu, a genius doctor, and discover “real romance.”
Kim Sa Bu once gained fame as a top surgeon at a huge hospital. One day, he disappeared from the eyes of the public, quietly becoming the chief surgeon at Doldam Hospital in the countryside. After he conducted a successful operation on Chairman Shin, he gets to improve the hospital under reliable support. But then Chairman Shin passes away, and an old foe returns. New people appear and his students had to leave the hospital. Furthermore, his wrist, which was injured three years ago, starts to act weird. Kim Sa Bu decides to go to a huge hospital himself to solve the manpower shortage at Doldam, where he finds two people who resemble his former students but who seem much more lacking. Seo Woo Jin would do anything for money, and Cha Eun Jae gets nauseous every time she tries to perform surgery. Will Kim Sa Bu be able to run Doldam Hospital with these two?",189,187,8.7,16,70,"42,768",1/6/2020,2/25/2020,"Monday, Tuesday","Han Seok Kyu, Lee Sung Kyung, Ahn Hyo Seop, Kim Joo Heon"
54,While You Were Sleeping ,"Mystery, Romance, Drama, Fantasy","Precognition, Nice Male Lead, Murder, Tragic Past, Steamy Kiss, First Love, Childhood Acquaintance, Smart Male Lead, Strong Female Lead, Healing","A young woman with bad premonition dreams meets two people who suddenly develop the same ability.
Nam Hong Joo lives with her mother, Yoon Moon Sun, a widow who runs a small restaurant. Jung Jae Chan, a rookie prosecutor, and his younger brother, Seung Won, move in across the street. Since Hong Joo was young, she has had the ability to see the good and bad events before they happen, however she is often unable to do anything about them. One day, Jae Chan has a strange premonition dream about an accident involving Hong Joo and Lee Yoo Beom, a ruthless attorney who used to be Jae Chan’s tutor. Jae Chan decides to interfere in the course of events and ends up saving the lives of Hong Joo and Han Woo Tak, a young police officer. When Jae Chan, Hong Joo, and Woo Tak then start having dreams about one another, they realize that their lives are now somehow entwined.
But can the three discover the reason that they were brought together, and can they prevent the people closest to them from getting hurt?",190,11,8.7,32,30,"136,482",9/27/2017,11/16/2017,"Wednesday, Thursday","Bae Suzy, Jung Hae In, Lee Jong Suk, Lee Sang Yeob"
55,The Penthouse Season 2: War in Life ,"Thriller, Mystery, Drama","Revenge, Corruption, High Class Society, Greed, Murder, Rich Male Lead, Motherhood, School Bullying, Rich Female Lead, Jealousy","After successfully framing Oh Yoon Hee, Cheon Seo Jin and Joo Dan Tae decided to get married. Their engagement party is interrupted by Oh Yoon Hee and Ha Yoon Cheol, who has just come back from the United States. As the secrets unveil, the relationships among the people at Hera Palace are entangled, yet another mysterious figure appears and confronts them.",191,317,8.7,13,75,"30,242",2/19/2021,4/2/2021,"Friday, Saturday","Kim So Yeon, Lee Ji Ah, Eugene"
56,Our Beloved Summer ,"Romance, Life, Youth, Drama","Lovers Reunited, High School Sweethearts, First Love, Healing, Flashback To Past, Love/Hate Relationship, Interview, Coming Of Age, Second Chance Romance, Enemies To Lovers","Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives. Choi Woong seems naive and a free-spirited man, but he wants to have something for the first time in his life. For that, he shows what he holds in his mind. Kook Yeon Soo aimed to become the top student at her school, but she is now an adult who lives fiercely, adapting to her reality.",195,89,8.7,16,60,"65,303",12/6/2021,1/25/2022,"Monday, Tuesday","Choi Woo Shik, Kim Sung Cheol, Kim Da Mi, Roh Jeong Eui"
57,Our Blues ,"Romance, Life, Drama, Melodrama","Multiple Mains, Anthology, Island Setting, Middle-Aged Female Lead, Middle-Aged Male Lead, Slow Burn Story, Friendship, Depression, Deaf Supporting Character, Hearing Impaired Supporting Character","""Our Blues"" takes on an omnibus-style drama, which tells the story of diverse characters that are somewhat interconnected, in one way or the other.
Lee Dong Suk, a guy born on the beautiful island of Jeju, selling goods from the mainland in his truck for a living. He meets Min Sun Ah, a girl with a mysterious past, who has come to Jeju to escape that life.
Park Jung Joon, a ship captain, falls in love with Lee Young Ok, a diver with a bright and bubbly personality.
Jung Eun Hee, a fish shop owner, reunites with her past lover Choi Han Soo. They cross paths in Jeju Island when he returns back, after realizing that city life is not for him.",198,363,8.7,20,70,"27,862",4/9/2022,6/12/2022,"Saturday, Sunday","Lee Byung Hun, Cha Seung Won, Uhm Jung Hwa, Kim Woo Bin, Go Doo Shim, Choi Young Joon, Bae Hyun Sung, Jung Eun Hye, Shin Min Ah, Lee Jung Eun, Han Ji Min, Kim Hye Ja, Gi So Yoo, Park Ji Hwan, Roh Yoon Seo"
58,Sweet Home ,"Action, Horror, Drama, Sci-Fi","Monsters, Gore, Survival, Character Development, Adapted From A Webtoon, Supernatural Phenomena, Multiple Mains, Trauma, School Bullying, Attempted Suicide ","Following the death of his family in an accident, loner Cha Hyun Soo moves to a new apartment. His quiet life is soon disturbed by strange incidents that start occurring in his apartment, and throughout Korea. As people start to turn into monsters, Hyun Soo and the other residents try to survive.",201,63,8.7,10,52,"75,786",12/18/2020,,Friday,"Song Kang, Lee Si Young, Kim Nam Hee, Park Gyu Young, Kim Gab Soo, Lee Jin Wook, Lee Do Hyun, Go Min Si, Go Youn Jung, Kim Sang Ho"
59,18 Again ,"Romance, Life, Drama, Fantasy","Second Chance, First Love, Father-Son Relationship, Hardworking Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Life Lesson, Becoming Young, Hidden Identity, Character Development","After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.
Shaken by his wife’s decision to leave him and utterly disappointed in where life has taken him, Dae Young takes a hard look at his life. It doesn’t take him long to see all the places where things went wrong, and soon he finds himself regretting absolutely everything about his life. The moment the thoughts of regret enter his head, his body is instantly transformed into that of an eighteen year old, while his thirty-seven year old mind remains intact. Suddenly given the chance to re-do his entire life, Dae Young changes his name to Ko Woo Young and enrolls himself in his children's’ school. Seeing life from an entirely different perspective, Dae Young soon finds that despite keeping his middle-aged brain, he still has a lot to learn.",203,122,8.7,16,70,"55,291",9/21/2020,11/10/2020,"Monday, Tuesday","Kim Ha Neul, Lee Do Hyun, Yoon Sang Hyun"
60,Moon Lovers: Scarlet Heart Ryeo ,"Historical, Romance, Fantasy, Melodrama","Goryeo Dynasty, Badass Male Lead, Power Struggle, Jealousy, Sibling Rivalry, Possessive Male Lead, Tearjerker, Death, Adapted From A Novel, Gwangjong ","When a total eclipse of the sun takes place, Go Ha Jin is transported back in time to the start of the Goryeo Dynasty of Korea during King Taejo's rule. She wakes up in the body of the 16-year-old Hae Soo and finds herself living in the house of the 8th Prince Wang Wook, who is married to Hae Soo's cousin. She soon befriends several of the princes and meets the ostracized 4th Prince, Wang So. Although knowing she should not get involved in palace intrigues over the succession to the throne, she inadvertently becomes a pawn in the struggle, as several of the Princes fall in love with her.",208,16,8.7,20,60,"122,991",8/29/2016,11/1/2016,"Monday, Tuesday","Lee Joon Gi, Kang Ha Neul, IU"
61,"Kill Me, Heal Me ","Psychological, Comedy, Romance, Drama","Dissociative Identity Disorder, Trauma, Boss-Employee Relationship, Rich Male Lead, Psychiatry, Nice Male Lead, Mean Male Lead, Rich Man/Poor Woman, Psychiatrist Female Lead, Doctor Female Lead ","A traumatic childhood experience leaves Cha Do Hyeon, suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he asks Oh Ri Jin, a first-year psychiatric resident, to help him, but she eventually falls in love with one of his personalities. Ri Jin’s twin brother, Oh Ri On, a famous mystery novelist, investigates Do Hyeon and his family,",211,27,8.7,20,62,"99,839",1/7/2015,3/12/2015,"Wednesday, Thursday","Ji Sung, Park Seo Joon, Oh Min Suk, Hwang Jung Eum, Kim Yoo Ri"
62,Partners for Justice Season 2 ,"Mystery, Law, Drama, Medical","Forensic Science, Forensic Medical Examiner Male Lead, Prosecutor Supporting Character, Age Gap [Drama Life], Age Gap [Real Life], Prosecutor Female Lead, Doctor Male Lead, Serial Killings, Teamwork, Rich Female Lead ","In crime and in life, all contact leaves a trace. There is no perfect crime and our hero and heroine have the ultimate cooperation. This drama continues the tale of a forensic scientist and a prosecutor who make the best of teams.",213,1394,8.7,32,35,"8,549",6/3/2019,7/29/2019,"Monday, Tuesday","Jung Jae Young, Oh Man Suk, Jung Yoo Mi, Noh Min Woo"
63,Misaeng: Incomplete Life ,"Business, Life, Drama","Office Worker, Workplace Abuse, Teamwork, Adapted From A Webtoon, Hardworking Male Lead, Smart Female Lead, Strong Female Lead, Nice Male Lead, Hardworking Female Lead, Bromance","Jang Geu Rae has played the game of Go since he was a child. When his plans of becoming a professional Go player fail, the down-and-out Geu Rae is forced to take an office job as an intern set up for him by an acquaintance’s recommendation for him to a large company called One International.
On his first day of work, Geu Rae meets an eager fellow intern, An Yeong Yi, as they both try to please their new boss, Section Chief Oh Sang Shik, and keep up with the ambitious employee, Jang Baek Ki. But they quickly find that their department is a little different from the others.
Geu Rae does his best at his new job while trying not to lose his humanity along the way.",215,329,8.7,20,80,"29,448",10/17/2014,12/20/2014,"Friday, Saturday","Yim Si Wan, Kang So Ra, Byun Yo Han, Lee Sung Min, Kang Ha Neul, Kim Dae Myung"
64,A Business Proposal ,"Comedy, Romance, Drama","Boss-Employee Relationship, Double Identity, Fake Identity, Blind Date, Contract Relationship, Cheerful Female Lead, Sismance, Company President (CEO) Male Lead, Rich Male Lead, Rich Man/Poor Woman","Shin Ha Ri is a single woman and works for a company. She has a male friend, who she has had a crush on for a long time, but she learns he has a girlfriend. Shin Ha Ri feels sad and decides to meet her friend Jin Young Seo, who is a daughter of a chaebol family. Jin Young Seo then asks Shin Ha Ri to take her place in a blind date and even offers some money for her time. Shin Ha Ri accepts her friend's offer. She goes out on the blind date as Jin Young Seo, while having the intention to get rejected by her date. When she sees her blind date, Shin Ha Ri is dumbfounded. Her blind date is Kang Tae Mu. He is the CEO of the company where she works.
Kang Tae Mu is the CEO of a company that his grandfather founded. One day, his grandfather informed him of an upcoming blind date that he set up for him. Kang Tae Mu is a workaholic and he is annoyed that his grandfather sets up blind dates for him. He decides to marry the next woman whom he meets at a blind date, so he won't be disturbed from his work anymore. That woman is Shin Ha Ri, but pretending to be Jin Young Seo.
On the following day, Shin Ha Ri receives a phone call from Kang Tae Mu. He asks her to marry him.",218,28,8.7,12,60,"99,264",2/28/2022,4/5/2022,"Monday, Tuesday","Ahn Hyo Seop, Kim Min Gue, Kim Se Jeong, Seol In Ah"
65,The Fiery Priest ,"Action, Mystery, Comedy, Crime","Badass Male Lead, Eccentric Male Lead, Sassy Female Lead, Bromance, Aggressive Male Lead, Sismance, Corruption, Investigation, Tragic Past, Frenemy","Kim Hae Il is a Catholic priest. He makes spiteful remarks, and he can be rude to others. Koo Dae Young is a detective. He talks a lot, and he is also timid. Park Kyung Sun is a prosecutor. She is smart and beautiful. She is also ambitious as a prosecutor and good at her job.
The three of them team up and work together to solve a murder case involving a senior Catholic priest.",220,408,8.7,40,35,"25,291",2/15/2019,4/20/2019,"Friday, Saturday","Kim Nam Gil, Lee Ha Nee, Geum Sae Rok, Kim Sung Kyun, Go Jun"
66,My Name ,"Action, Thriller, Mystery, Crime","Blood, Revenge, Lying, Murder, Double Identity, Antihero, Hidden Identity, Gang, Gun Violence, Death","Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction.
Yoon Ji Woo, a member of a organized crime ring, goes undercover as a police officer and harbors cold revenge in her heart. Helping Yoon Ji Woo go undercover is Choi Moo Jin, the boss of the biggest drug ring in Korea, whose true motives are not easy to read.
Jeon Pil Do is a police detective in the Drug Investigation Unit. He is a stickler for rules who becomes Yoon Ji Woo’s partner when she joins the police. Cha Gi Ho is the team leader of the Drug Investigation Unit. He and Choi Moo Jin have long been enemies, with Cha Gi Ho vowing to take down his crime ring before he retires.
Jung Tae Joo is Choi Moo Jin’s subordinate in the drug ring. Because of his steadfast loyalty, he is Choi Moo Jin’s most trusted henchman. Do Gang Jae is a former member of the drug ring. After causing problems and getting kicked out of the gang, he vowed revenge against them.",221,87,8.7,8,50,"65,658",10/15/2021,,Friday,"Han So Hee, Ahn Bo Hyun, Park Hee Soon"
67,Chicago Typewriter ,"Comedy, Romance, Supernatural, Political","Reincarnation, Hardworking Male Lead, Hardworking Female Lead, Strong Female Lead, Successful Male Lead, Bromance, Flashback To Past, Tragic Past, Character Development, Patriotism","This drama follows the lives of two men and a woman through two eras: one during the 1930s Japanese occupation of Korea and the other in the 21st century. The three main characters are:
(1) Han Se Joo was a writer in his past life and a bestselling author in the present. But Se Joo is depressed with writer’s block so he can't write his next book.
(2) Yu Jin Oh owned a bar in his previous life. In 2017, he is a talented ghostwriter who can bail Se Joo out of his predicament, but the mysterious man has a condition for his services. Se Joo may not be able to meet it.
(3) Jeon Seol was a sniper. Now she has extremely varied expertise. She is a former Olympian hopeful, a veterinarian, and a book lover who runs her own delivery service. She oscillates between extreme fandom and an anti-fandom of Se Joo.
The intricately woven story of these three characters unfolds to reveal strange mirroring connections between the time periods as well as possibilities for past lives to be redeemed or improved in the modern world. This story depicts Korea and the friendship between the three beautifully through different times.",222,120,8.7,16,70,"56,141",4/7/2017,6/3/2017,"Friday, Saturday","Yoo Ah In, Go Kyung Pyo, Im Soo Jung, Kwak Shi Yang"
